hedge_every,mean_pnl,std_pnl,ratio,p05,p95,loss_rate,mean_maxdd,mean_gamma,mean_theta,mean_edge,mean_hedge_cost
1,81.23140655086051,8.584201343638554,9.46289623216471,66.06157781008511,89.42231766516632,0.0,-0.5098679292239247,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-3.852816615700135
2,57.45790956891848,11.686984731842964,4.916401525909903,43.148254938970865,70.59902730019559,0.0,-4.587970827466754,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-2.7893371537392606
5,39.71667907134434,21.78641884108505,1.8230017223595378,13.408652254024577,67.9011218336203,0.05,-14.689042885062213,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-1.7316169539515616
10,30.28730700390266,27.70076587822718,1.0933743542343175,-11.793661460808044,62.867411802625426,0.15,-20.874371994742127,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-1.1867710868610295
25,26.214004379961683,36.142746629370606,0.7252908764454401,-33.22131236711211,67.98689327927936,0.2,-32.909805945275735,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-0.6943234016718182
50,20.809506971873102,37.1365299763095,0.5603514110001152,-42.479211700746916,66.48813411039296,0.25,-42.044377246000025,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-0.4417262070572067
100,27.004762211870503,44.83719428913653,0.6022848360610603,-50.123303790893424,86.4367931936955,0.25,-47.866942404189835,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-0.2392005410370313
250,18.284520333554106,74.93094854343185,0.24401826867246904,-54.06222367242116,85.54873012519523,0.3,-60.324100576765865,-0.24374614527738842,-0.8116720852293581,86.0973149702475,-0.07359918823151186
